id,age,year,wrkstat,hrs1,marital,agekdbrn,sibs,chathr,emailhr,postlife,sex,othlang,born,engunite,payexec,comwht,race,realrinc,educ,grass,degree,letters,aged,realinc,childs,abpoor,abany,prestg80,mapres80,papres80,wordsum,pasei,masei,god,numcong,grass_missing
22,49,2000,"working fulltime",40,"married",29,0,2,7,,"female","yes","yes","agree",200000,95,"white",,17,,"bachelor",,,141038,2,"yes","yes",66,,70,,90.1,,,,.a
23,19,2000,"school",,"never married",,2,,0,,"male",,"yes",,,,"white",,11,,,"3-5",,66500,0,"no","no",,40,49,6,64.1,53.3,"no way to find out",,.a
24,54,2000,"keeping house",,"widowed",26,5,,0,"yes","male","no","yes","disagree",500000,90,"white",18287,16,,"bachelor",,,24937,2,"yes","yes",47,,61,,88.2,,,150,.a
25,82,2000,"retired",,"widowed",22,1,,,"yes","female",,"yes",,,,"white",,16,,"bachelor","1-2",,,2,"yes","no",,38,35,5,33.1,43.5,"know god exists",,.a
26,83,2000,"retired",,"widowed",19,3,,,,"female",,"yes",,,,"white",,12,"not legal","high school",,"a bad idea",,3,"no","no",57,42,43,7,37.3,54.2,"know god exists",100,"not legal"
27,89,2000,"retired",,"widowed",33,2,,,"yes","male",,"yes",,,,"white",,12,,"high school","3-5",,1330,1,,,40,23,35,6,36.4,22.5,"know god exists",,.a
28,88,2000,"retired",,"widowed",18,7,,,"yes","female",,"yes",,,,"white",,13,"not legal","high school","26-50","a bad idea",,4,,,34,,40,8,37.3,,,,"not legal"
29,72,2000,"retired",,"divorced",22,2,,,"yes","female",,"yes",,,,"white",,12,"not legal","high school","3-5","a bad idea",9143,2,,,40,23,40,5,37.3,26.5,,125,"not legal"
30,82,2000,"retired",,"widowed",24,3,,,,"female",,"yes",,,,"white",,13,"legal","high school",,"a bad idea",,4,"yes","yes",,,34,6,48.6,,"know god exists",1500,"legal"
31,89,2000,"retired",,"widowed",24,4,,,"yes","female","no","yes","strongly agree",,100,"white",,12,,"high school",,"depends",24937,2,,,47,,24,,29.2,,,,.b
32,34,2000,"working fulltime",40,"married",29,7,,,,"female",,"no",,,,"white",,17,"not legal","bachelor",,"a good idea",,1,,,66,,42,2,50.2,,,,"not legal"
33,55,2000,"keeping house",,"married",22,9,,,"yes","female",,"yes",,,,"black",,12,,"high school","0",,29925,5,"no","no",51,20,36,6,28.6,21.2,"know god exists",200,.a
34,37,2000,"working fulltime",60,"never married",,2,0,0,,"male",,"yes",,,,"white",18287,12,,"high school",,"a good idea",54862,0,"yes","yes",55,47,44,5,50.7,38,"no way to find out",,.b
35,22,2000,"working fulltime",47,"married",,1,,,"yes","male","no","yes","disagree",250000,40,"white",7481,13,"legal","high school",,"a good idea",,0,"yes","yes",31,,54,,49.6,,,,"legal"
36,33,2000,"working fulltime",52,"never married",,6,,,"yes","female","yes","no",,,,"other",14131,8,,"lt high school",,"a good idea",14131,0,"no","no",29,23,23,,26.5,26.5,,350,.b
37,37,2000,"unempl, laid off",,"never married",,7,,4,"no","male","no","yes","agree",800000,60,"white",54862,16,,"bachelor",,,54862,0,"yes","yes",74,19,,,,37,,100,.a
38,43,2000,"working fulltime",45,"never married",,8,,0,"yes","male",,"yes",,,,"white",14131,14,,"high school","0",,14131,0,,,51,51,60,6,63.2,63.5,"know god exists",5000,.b
39,29,2000,"working fulltime",50,"never married",,3,0,6,"yes","male",,"yes",,,,"white",44887,16,,"bachelor","3-5",,44887,0,"no","no",74,60,36,6,28.6,43.7,"know god exists",2000,.a
40,57,2000,"retired",,"never married",,3,,,"yes","female",,"yes",,,,"white",,13,"not legal","high school","3-5","a bad idea",,0,,,49,64,,10,,78.5,,1200,"not legal"
41,31,2000,"working fulltime",47,"married",,2,,2,"yes","female","no","yes","disagree",500000,70,"white",14131,16,,"bachelor",,,24937,0,"yes","yes",33,64,53,,46.3,78.5,,,.a
42,45,2000,"working fulltime",45,"married",21,11,,,"yes","female","no","yes","agree",300000,70,"white",44887,14,"not legal","junior college",,"a good idea",66500,3,"no","no",54,,42,,36.5,,,1500,"not legal"
43,36,2000,"unempl, laid off",,"divorced",25,7,,,,"male",,"yes",,,,"black",12468,12,"not legal","high school",,"a good idea",,2,"yes",,36,,36,5,28.6,,,,"not legal"
44,52,2000,"other",,"never married",,13,,,"yes","male",,"yes",,,,"white",,19,"legal","graduate","0","a good idea",5985,0,,,69,,,5,,,"know god exists",,"legal"
45,26,2000,"working fulltime",40,"never married",,2,0,1,"no","male","no","yes","agree",150000,24,"white",18287,14,"legal","high school",,"depends",21612,0,,,28,43,37,,30.8,35.4,,,"legal"
46,46,2000,"working fulltime",30,"never married",26,17,,,"yes","female","yes","no","strongly agree",80000,5,"white",7481,6,"not legal","lt high school",,"a good idea",7481,1,"no","no",23,,,,,,,5000,"not legal"
47,65,2000,"working fulltime",50,"married",24,1,,,"yes","male","no","yes","disagree","> 1000000",100,"white",54862,18,,"bachelor",,,141038,3,"no","no",32,40,57,,57.1,34.6,,400,.a
48,52,2000,"working parttime",20,"married",23,1,,3,"yes","female","no","yes","agree",300000,90,"white",2327,12,"not legal","high school",,"a good idea",54862,2,,,34,,44,,50.7,,,,"not legal"
49,56,2000,"working fulltime",40,"married",21,1,0,2,"yes","female",,"yes",,,,"white",24937,16,,"bachelor","6-10",,141038,3,"no","no",49,30,51,9,63.5,38.4,"some higher power",5000,.a
50,66,2000,"working fulltime",42,"married",36,1,0,10,"yes","male",,"yes",,,,"white",36575,16,"not legal","bachelor","26-50","a bad idea",141038,1,,,59,,51,7,63.5,,"know god exists",5000,"not legal"
51,20,2000,"working fulltime",40,"never married",,2,0,0,"yes","male",,"yes",,,,"white",10806,11,"not legal","lt high school","3-5","a good idea",54862,0,,,31,,,6,,,"some higher power",100,"not legal"
52,64,2000,"working parttime",12,"married",27,0,,,"yes","female","no","yes","agree",600000,90,"white",3657,16,"not legal","bachelor",,"a good idea",29925,2,"no","no",66,66,40,,37.3,80.3,,,"not legal"
53,59,2000,"working fulltime",50,"married",28,1,,,"yes","male","no","yes","agree",500000,40,"white",66500,16,"legal","graduate",,"a good idea",66500,3,"yes","yes",51,46,44,,50.7,38.4,,600,"legal"
54,46,2000,"keeping house",,"married",20,5,,,"yes","female",,"yes",,,,"white",,13,"not legal","high school","6-10","a bad idea",141038,3,,,44,34,39,7,34.2,37.7,,2000,"not legal"
55,26,2000,"working parttime",35,"married",,2,,,"no","male",,"no",,,,"black",7481,15,"not legal","bachelor","6-10","a good idea",18287,0,,,29,64,65,4,76.4,78.5,"some higher power",200,"not legal"
56,39,2000,"working fulltime",40,"divorced",18,2,,0,,"female",,"yes",,,,"black",,12,,"high school",,,,3,,,46,47,30,4,31.5,54.7,,,.b
57,51,2000,"working fulltime",40,"divorced",22,4,0,1,"yes","female",,"yes",,,,"white",15793,12,,"high school","0",,15793,2,"no","no",41,35,,5,,26.7,"know god exists",,.a
58,45,2000,"working fulltime",40,"divorced",23,2,,5,"yes","female","no","yes","agree",250000,50,"white",29925,18,,"graduate",,,29925,2,"no","no",66,65,70,,59.3,64.4,,3500,.a
59,23,2000,"keeping house",,"never married",,0,0,7,"yes","female",,"yes",,,,"white",1330,16,,"bachelor","6-10",,1330,0,"yes","yes",33,,74,8,87.4,,"believe but doubts",50,.a
60,21,2000,"working fulltime",38,"never married",,3,,0,,"female",,"yes",,,,"white",,15,"not legal",,,"a good idea",,0,"yes","yes",29,46,51,5,63.5,38.4,,300,"not legal"
61,26,2000,"keeping house",,"married",22,5,,,"yes","female","no","yes","disagree",150000,50,"white",7481,17,"not legal","bachelor",,"depends",15793,2,,,64,,51,,63.5,,,200,"not legal"
62,31,2000,"working fulltime",55,"married",27,2,,,"yes","female","yes","yes","agree",,50,"other",21612,20,"not legal","graduate",,"a bad idea",44887,1,"no","no",64,46,42,,39,38.4,,100,"not legal"
63,27,2000,"working fulltime",50,"never married",,6,,0,"yes","female","no","yes","disagree",100000,50,"black",21612,16,,"bachelor",,,21612,0,"no","no",64,46,,,,38.4,,2000,.a
64,78,2000,"retired",,"divorced",,3,,,"yes","female",,"yes",,,,"white",,10,,"high school","1-2",,5985,0,"no","yes",28,,40,5,37.3,,"know god exists",,.a
65,29,2000,"working parttime",5,"never married",20,4,,,,"female",,"yes",,,,"white",7481,8,"legal","lt high school",,"a good idea",7481,3,"no","no",32,,23,3,26.5,,"know god exists",,"legal"
66,43,2000,"keeping house",,"widowed",22,3,,0,"yes","male",,"yes",,,,"black",,12,"not legal","high school","3-5","depends",24937,5,,,32,31,50,7,62.5,27.5,"know god exists",120,"not legal"
67,61,2000,"working fulltime",30,"divorced",19,4,,,"yes","female","no","yes","agree",,40,"white",21612,14,"not legal","junior college",,"depends",21612,3,"no","yes",64,42,60,,63.2,39.4,,,"not legal"
68,33,2000,"keeping house",,"married",25,2,0,0,,"female",,"yes",,,,"white",,7,,"lt high school","3-5",,29925,3,"yes","yes",,25,36,8,28.6,33.9,"believe but doubts",,.a
69,34,2000,"keeping house",,"never married",25,2,,,,"female","yes","yes","agree",,15,"black",10806,12,"legal","high school",,"depends",10806,2,,"yes",24,48,,,,67,,300,"legal"
70,89,2000,"keeping house",,"never married",,0,,,"yes","female","no","yes",,,50,"white",,10,,"lt high school",,"depends",333,0,,,35,34,50,,37.8,22.6,,,.b
71,83,2000,"retired",,"widowed",20,2,,,,"female",,"yes",,,,"black",,10,"not legal","lt high school","1-2","depends",333,1,,,23,,,4,,,"no way to find out",,"not legal"
72,78,2000,"retired",,"widowed",23,6,,,,"female",,"yes",,,,"black",,7,,"lt high school","1-2",,1330,1,,"no",36,30,24,2,29.2,29.4,,500,.a
73,89,2000,"other",,"widowed",17,6,,,,"female","no","yes","agree",,15,"black",,12,,"high school",,,7481,"eight or more","yes","yes",39,,86,,97.2,,,,.a
74,84,2000,"retired",,"widowed",,6,,,,"female",,"yes",,,,"black",,12,"not legal","high school",,"depends",3657,0,"no","no",31,,31,4,27.5,,,1000,"not legal"
75,69,2000,"keeping house",,"widowed",14,8,,,"yes","female","no","yes","agree",,20,"black",,4,"not legal","lt high school",,,,"eight or more",,,,,,,,,,,"not legal"
76,32,2000,"working fulltime",40,"never married",16,5,,,"yes","female",,"yes",,,,"black",7481,11,"legal","lt high school","1-2","a good idea",7481,3,,,32,,33,5,27.7,,"know god exists",700,"legal"
77,76,2000,"other",,"widowed",19,12,,,,"female",,"yes",,,,"black",,9,"not legal","lt high school",,"a good idea",,"eight or more",,"no",20,,,3,,,,400,"not legal"
78,41,2000,"other",,"never married",25,7,,0,"yes","female","no","yes","agree",100000,5,"black",,13,,"high school",,,4987,1,"yes","yes",29,22,35,,37.9,28.4,,,.a
79,32,2000,"working fulltime",40,"married",29,6,,0,"yes","male",,"yes",,,,"black",36575,19,"not legal","graduate","1-2","a good idea",141038,2,,,64,43,24,10,29.2,36.9,"know god exists",,"not legal"
80,29,2000,"working fulltime",40,"never married",,1,,0,"yes","female",,"yes",,,,"black",24937,18,,"graduate","1-2",,44887,0,"yes","yes",64,24,30,6,31.5,29.2,"know god exists",,.a
81,40,2000,"working parttime",32,"married",22,3,,0,"yes","female","no","yes","strongly agree",100000,20,"black",18287,13,"not legal","high school",,"a good idea",,3,,,42,60,65,,76.4,43.7,,1000,"not legal"
82,44,2000,"working parttime",16,"married",24,1,,,"yes","female","no","yes","agree","> 1000000",35,"white",2327,14,"not legal","junior college",,"a bad idea",36575,4,"no","no",55,,65,,76.4,,,700,"not legal"
83,70,2000,"retired",,"widowed",25,0,,,"yes","female","no","yes","strongly agree",400000,20,"black",,19,"not legal","graduate",,"depends",44887,2,,,64,32,33,,27.7,22.9,,,"not legal"
84,40,2000,"temp not working",,"married",23,2,,0,"yes","male",,"yes",,,,"black",,15,"not legal","high school","0","a good idea",,4,,,66,31,51,9,63.5,27.5,"know god exists",,"not legal"
85,51,2000,"working parttime",27,"married",16,7,,0,,"female",,"yes",,,,"black",2327,13,"not legal","high school",,"a bad idea",36575,2,"yes","yes",69,51,28,6,24.6,36.5,"know god exists",1000,"not legal"
86,75,2000,"retired",,"divorced",35,4,,,"no","male","no","yes","agree",100000,20,"white",,13,,"high school",,,9143,1,"no","no",33,,47,,38.2,,,,.a
87,22,2000,"working fulltime",40,"never married",,8,,,"yes","male","no","yes","agree",,,"black",15793,12,,"high school",,,54862,0,"yes","yes",35,22,42,,32.3,28.4,,200,.a
88,53,2000,"working fulltime",40,"separated",33,8,0,3,"yes","female",,"yes",,,,"black",29925,16,,"bachelor","3-5",,29925,3,"yes","yes",35,,35,6,26.7,,"know god exists",1500,.a
89,20,2000,"working fulltime",40,"never married",,1,,0,"yes","male","no","yes","agree",150000,40,"white",7481,12,,"high school",,,29925,0,"no",,21,46,,,,38.4,,1500,.a
90,80,2000,"retired",,"widowed",27,1,,,,"female","no","yes","agree",,90,"white",,12,,"high school",,,15793,2,"yes","yes",36,31,35,,30.6,27.5,,200,.a
91,70,2000,"retired",,"widowed",23,6,,,,"male",,"yes",,,,"white",,13,"legal","lt high school",,"a bad idea",10806,1,"yes","yes",59,23,,6,,22.5,"believe but doubts",,"legal"
92,45,2000,"working fulltime",70,"married",36,1,,,"yes","male",,"no",,,,"white",54862,14,"legal","junior college","11-15","a good idea",54862,1,,,51,,44,,33.9,,"know god exists",100,"legal"
93,46,2000,"working fulltime",43,"divorced",17,2,,0,"yes","female",,"yes",,,,"white",21612,,"legal",,"16-25","depends",36575,1,,,36,28,45,6,38.1,32.4,"know god exists",,"legal"
94,24,2000,"working fulltime",45,"never married",,15,,0,"yes","male","no","yes","agree",150000,95,"white",12468,16,"not legal","bachelor",,"a good idea",54862,0,,,30,69,,,,74.4,,1500,"not legal"
95,51,2000,"working fulltime",70,"never married",,5,,,"yes","male","no","yes","agree",125000,95,"white",15793,13,"not legal","high school",,"a good idea",36575,0,"no","yes",40,32,40,,37.3,43.4,,900,"not legal"
96,32,2000,"working fulltime",50,"never married",,3,0,0,"no","male","no","yes","agree",150000,90,"white",24937,14,"not legal","high school",,"a bad idea",24937,0,,,42,,64,,86,,,,"not legal"
97,53,2000,"working fulltime",40,"married",,0,,,"yes","female","no","yes","agree","> 1000000",98,"white",,12,,"high school",,,,0,"yes","yes",35,33,34,,26.6,27.7,,,.a
98,52,2000,"working parttime",10,"married",28,3,,,"no","female","no","yes","strongly disagree",500000,90,"white",333,18,"legal","graduate",,"a bad idea",141038,3,"yes","yes",63,46,46,,62.5,38.4,,,"legal"
99,83,2000,"retired",,"widowed",23,2,,,"no","male","no","yes","strongly agree",,95,"white",,16,"not legal","bachelor",,"a bad idea",66500,3,"yes","yes",51,,51,,63.5,,,,"not legal"
100,39,2000,"working fulltime",55,"divorced",,6,2,15,"yes","male",,"yes",,,,"white",,19,,"graduate","6-10",,,0,"no","no",74,,30,,29.4,,"believe but doubts",,.a
101,47,2000,"working fulltime",40,"married",35,4,0,2,"yes","male",,"yes",,,,"white",,19,,"graduate","50+","depends",,2,,,64,47,65,8,76.4,38,"know god exists",400,.b
102,45,2000,"working fulltime",45,"married",,3,0,1,,"male",,"yes",,,,"white",44887,16,"not legal","bachelor",,"a bad idea",66500,0,"yes","yes",73,47,,6,,38,"know god exists",,"not legal"
103,48,2000,"keeping house",,"married",38,1,,,"yes","female","no","yes","agree",300000,65,"white",,16,,"bachelor",,,141038,2,"no","no",,,39,,34.2,,,,.a
104,50,2000,"working fulltime",40,"married",25,5,0,0,,"male",,"no",,,,"white",29925,16,"not legal","bachelor",,"a good idea",29925,1,"yes","yes",62,,,,,,"some higher power",,"not legal"
105,78,2000,"retired",,"widowed",35,1,,,"no","male","no","yes","strongly agree","> 1000000",85,"white",,13,"legal","high school",,"a good idea",24937,2,"yes","no",48,68,42,,51,88.8,,,"legal"
106,45,2000,"other",,"married",25,6,,0,"no","female","no","yes","disagree",130000,75,"white",,17,,"bachelor",,,,2,"yes","no",51,47,37,,35.7,38,,300,.a
107,56,2000,"working fulltime",40,"divorced",28,2,,,"no","male","no","yes","agree",,80,"white",,16,"legal","bachelor",,"a good idea",,2,,,65,,49,,64.1,,,,"legal"
108,47,2000,"working fulltime",50,"divorced",,2,0,3,"yes","female",,"yes",,,,"white",44887,16,"legal","bachelor","26-50","a good idea",44887,0,,,65,,33,6,24.8,,"know god exists",4000,"legal"
109,72,2000,"retired",,"married",26,3,0,10,"yes","male",,"yes",,,,"white",29925,16,,"bachelor","6-10",,36575,3,"yes","yes",51,,49,6,64.1,,,,.a
110,29,2000,"working fulltime",40,"never married",,1,0,40,"yes","female",,"no",,,,"other",9143,15,,"high school","6-10",,,0,"no","no",59,,64,7,86,,"believe but doubts",,.a
111,26,2000,"working parttime",30,"married",,1,0,7,,"male",,"yes",,,,"white",14131,16,"not legal","junior college",,"a good idea",36575,0,"no","no",65,,41,9,66.1,,"some higher power",,"not legal"
112,52,2000,"working fulltime",40,"married",32,5,,0,,"male","no","yes","agree",200000,30,"black",,12,,"high school",,,,4,"no",,27,,,,,,,,.a
113,39,2000,"working fulltime",45,"separated",27,3,0,0,"yes","male",,"yes",,,,"white",,16,,"bachelor","3-5",,24937,2,"yes","yes",61,25,,8,,40,"some higher power",,.a
114,30,2000,"working fulltime",45,"married",21,1,,0,"no","female","no","no","agree",300000,60,"other",24937,16,"not legal","bachelor",,"a good idea",44887,2,,,39,36,,,,25.5,,,"not legal"
115,48,2000,"working fulltime",40,"never married",16,2,,,"no","female","no","no","strongly agree",,40,"black",44887,9,"not legal","high school",,"a good idea",44887,2,,,30,,,,,,,,"not legal"
116,62,2000,"working fulltime",40,"divorced",,13,,,"yes","female","no","yes","agree",400000,90,"black",18287,13,"not legal","high school",,,18287,0,"no","no",57,42,,,,29.3,,600,"not legal"
117,57,2000,"working fulltime",49,"divorced",20,3,,0,"yes","female","no","yes","agree","> 1000000",60,"white",21612,12,"not legal","high school",,"a bad idea",29925,2,,,51,31,,,,27.5,,,"not legal"
118,60,2000,"retired",,"separated",17,0,,,,"male",,"yes",,,,"white",,8,"not legal","lt high school","0","a bad idea",15793,3,,,30,28,30,5,31.5,17.1,"know god exists",,"not legal"
119,47,2000,"keeping house",,"married",20,8,,,"no","female",,"yes",,,,"white",9143,11,,"lt high school","0",,,6,"no","no",47,,30,6,31.5,,"believe sometimes",,.a
120,55,2000,"other",,"widowed",18,6,,,,"female",,"yes",,,,"white",,11,"not legal","lt high school",,"a good idea",9143,3,"no","no",28,25,35,6,29.3,25.3,"know god exists",,"not legal"
121,43,2000,"other",,"separated",17,6,,,"yes","female",,"yes",,,,"white",,13,"not legal","lt high school","3-5","depends",333,3,,,,35,,1,,26.7,"know god exists",,"not legal"
122,31,2000,"keeping house",,"divorced",15,1,,,,"female","no","yes","agree",,50,"white",,10,"not legal","lt high school",,"a good idea",3657,5,"no","no",,,,,,,,200,"not legal"
123,44,2000,"unempl, laid off",,"married",25,10,,,"yes","male","no","yes","agree",,,"white",,8,,"lt high school",,,9143,3,"no","no",30,,36,,29.5,,,,.a
124,40,2000,"working fulltime",50,"divorced",,4,,,"no","male","no","yes","agree",150000,30,"white",,13,"not legal","junior college",,"a good idea",24937,2,"no","no",49,,49,,64.1,,,,"not legal"
125,25,2000,"keeping house",,"never married",20,6,,,"yes","female",,"no",,,,"white",,13,,"high school","0",,12468,2,"no","no",,,,0,,,,200,.a
126,37,2000,"working fulltime",40,"divorced",20,5,,,"no","female",,"yes",,,,"white",15793,12,,"high school","0",,15793,3,"no","no",33,,30,4,31.5,,"no way to find out",,.a
127,56,2000,"working fulltime",40,"divorced",25,10,,,,"male","yes","yes","agree",,75,"white",,8,,"lt high school",,,,3,"no","no",,40,40,,37.3,37.3,,65,.a
128,28,2000,"working fulltime",45,"married",,3,,,"yes","male","yes","yes","strongly agree",,,"white",,10,"not legal","lt high school",,"a good idea",,0,,,35,,,,,,,20,"not legal"
129,36,2000,"keeping house",,"never married",29,12,,,"yes","male",,"yes",,,,"black",,11,"legal","lt high school","0","a bad idea",333,2,,,36,,,,,,,,"legal"
130,35,2000,"school",,"never married",,5,,,,"male","no","yes","agree",250000,30,"black",,12,"not legal","high school",,"a good idea",5985,0,"no","no",30,52,,,,69.2,,800,"not legal"
131,23,2000,"working parttime",21,"never married",,2,,0,,"male",,"yes",,,,"white",2327,16,"legal","high school",,"depends",2327,0,"no","yes",31,66,62,6,78,73.2,"some higher power",310,"legal"
132,30,2000,"working fulltime",55,"married",,12,,,,"male",,"yes",,,,"white",7481,15,"legal","high school",,"a good idea",18287,0,"yes","yes",51,,,7,,,"know god exists",200,"legal"
133,32,2000,"working fulltime",45,"married",,1,0,0,"no","male",,"yes",,,,"white",5985,19,,"graduate","3-5",,21612,0,"yes","yes",47,,74,10,87.5,,"some higher power",,.a
134,50,2000,"working fulltime",32,"divorced",21,10,,20,"yes","female",,"yes",,,,"black",9143,14,,"high school","1-2",,9143,2,"no","yes",41,47,22,5,28.4,56.5,"believe but doubts",,.a
135,38,2000,"keeping house",,"widowed",21,4,,,"no","female","no","yes","strongly agree",750000,50,"black",5985,12,"legal","high school",,"a good idea",18287,3,"yes","yes",57,34,22,,28.4,37.7,,,"legal"
136,31,2000,"working fulltime",40,"never married",,4,0,3,"yes","female",,"yes",,,,"white",15793,16,"not legal","bachelor","26-50","a good idea",15793,0,,,55,,30,7,31.5,,"know god exists",100,"not legal"
137,82,2000,"retired",,"widowed",,3,,,"yes","female","no","yes","agree",,50,"black",,8,,"lt high school",,,2992,0,"yes","yes",23,30,30,,31.5,25.4,,100,.a
138,73,2000,"retired",,"divorced",23,0,,,"no","female","yes","no","agree",,50,"white",,12,"legal","high school",,"a bad idea",4987,7,,,23,39,,,,36.5,,200,"legal"
139,57,2000,"retired",,"separated",20,5,,,"yes","male","no","yes","agree",200000,40,"black",,11,"not legal","lt high school",,"a good idea",9143,3,,,34,28,30,,31.5,32.4,,220,"not legal"
140,60,2000,"retired",,"widowed",18,4,,,,"female",,"yes",,,,"black",,13,"not legal","high school",,"a bad idea",12468,6,"no","no",44,,22,6,28.4,,"know god exists",,"not legal"
141,76,2000,"retired",,"never married",,4,,,"yes","male",,"yes",,,,"white",,7,"not legal","lt high school","0","a good idea",333,0,,,35,,47,4,38.2,,"know god exists",150,"not legal"
142,70,2000,"retired",,"widowed",26,4,,,"yes","female","no","yes","strongly agree",80000,,"black",,11,"legal","lt high school",,"depends",7481,1,,,32,23,,,,22.5,,,"legal"
143,87,2000,"retired",,"widowed",16,3,,,"yes","female",,"yes",,,,"black",,7,,"lt high school","3-5",,4322,1,"yes","yes",23,23,24,5,29.2,22.5,"believe but doubts",300,.a
144,70,2000,"retired",,"widowed",20,3,,,"yes","female","no","yes","agree",200000,30,"white",,9,"not legal","lt high school",,"a bad idea",4322,6,"yes","yes",20,,36,,48.8,,,,"not legal"
145,78,2000,"retired",,"widowed",19,3,,,"no","female","no","yes","strongly agree",3000,50,"white",,9,,"lt high school",,,4322,1,"yes","yes",22,,47,,48.5,,,200,.a
146,32,2000,"working fulltime",46,"never married",27,0,,0,,"female",,"yes",,,,"black",12468,14,"legal","junior college",,"a bad idea",18287,4,"yes","yes",68,35,,4,,26.7,"know god exists",,"legal"
147,58,2000,"working fulltime",40,"never married",19,3,0,0,,"female",,"yes",,,,"black",1330,12,"not legal","high school",,"a good idea",1330,4,"no","no",64,23,31,5,27.5,22.5,"know god exists",400,"not legal"
148,29,2000,"working fulltime",40,"never married",14,1,,0,"yes","female","no","yes","agree",100000,10,"black",5985,12,,"high school",,,5985,5,"yes","yes",40,22,44,,38.2,28.4,,,.a
